epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1778.24,0.52224,0.56561,0.9905,0.71504,0.79042,0.75691,0.58592,0.78282,0.93694,1.09908,0.000622615,0.000622615,0.000622615
59,1808.45,0.56103,0.59352,0.99997,0.78943,0.78218,0.77969,0.61435,0.76413,0.90453,1.08903,0.000608468,0.000608468,0.000608468
60,1839.03,0.55003,0.56442,0.99174,0.79386,0.77262,0.81383,0.62237,0.78607,0.8638,1.09939,0.000594321,0.000594321,0.000594321
61,1869.28,0.57023,0.59529,1.01685,0.77834,0.7927,0.82328,0.62939,0.78882,0.87131,1.10363,0.000580174,0.000580174,0.000580174
62,1899.78,0.5555,0.56306,1.0027,0.7382,0.80173,0.79375,0.60177,0.75354,0.84112,1.08265,0.000566027,0.000566027,0.000566027
63,1929.98,0.53285,0.53568,0.99187,0.68708,0.79795,0.77905,0.57985,0.73898,0.84693,1.06354,0.00055188,0.00055188,0.00055188
64,1960.22,0.5308,0.56528,0.99095,0.80605,0.76751,0.80278,0.60644,0.76705,0.85116,1.0743,0.000537733,0.000537733,0.000537733
65,1990.44,0.51066,0.5283,0.95325,0.8407,0.80481,0.81354,0.59122,0.76031,0.86674,1.07545,0.000523586,0.000523586,0.000523586
66,2020.63,0.52012,0.54267,0.99706,0.81252,0.81844,0.81367,0.62467,0.76398,0.8483,1.08324,0.000509438,0.000509438,0.000509438
67,2050.96,0.50424,0.52259,0.96989,0.84181,0.77549,0.82191,0.6424,0.72298,0.81423,1.06587,0.000495291,0.000495291,0.000495291
68,2081.08,0.49077,0.5107,0.97251,0.8662,0.76642,0.82439,0.65456,0.71615,0.79915,1.05545,0.000481144,0.000481144,0.000481144
69,2112.18,0.49308,0.51552,0.98048,0.86761,0.76929,0.81763,0.64648,0.69822,0.78604,1.04127,0.000466997,0.000466997,0.000466997
70,2142.48,0.56491,0.54158,1.01314,0.74399,0.85354,0.82373,0.64646,0.70779,0.75314,1.04238,0.00045285,0.00045285,0.00045285
71,2173.91,0.5199,0.55293,1.00815,0.7749,0.85354,0.82479,0.63175,0.71366,0.76326,1.05161,0.000438703,0.000438703,0.000438703
72,2204.02,0.4998,0.54275,0.97274,0.75002,0.81473,0.76873,0.59696,0.71547,0.81886,1.05775,0.000424556,0.000424556,0.000424556
73,2234.09,0.50304,0.50673,0.96649,0.82371,0.76745,0.77861,0.60575,0.73846,0.83025,1.08501,0.000410409,0.000410409,0.000410409
74,2264.22,0.46254,0.49843,0.97349,0.79549,0.78292,0.77683,0.60985,0.74494,0.85429,1.10177,0.000396262,0.000396262,0.000396262
75,2294.6,0.48517,0.503,0.97232,0.8082,0.77122,0.79036,0.62547,0.74759,0.86335,1.10255,0.000382115,0.000382115,0.000382115
76,2324.65,0.50222,0.52044,0.98912,0.80741,0.72304,0.78897,0.61933,0.75726,0.85213,1.11743,0.000367967,0.000367967,0.000367967
77,2354.98,0.47424,0.49238,0.95328,0.81046,0.72729,0.80649,0.63312,0.75227,0.83899,1.11882,0.00035382,0.00035382,0.00035382
78,2385.07,0.43626,0.46069,0.95547,0.82673,0.71695,0.80328,0.6333,0.75128,0.82206,1.12215,0.000339673,0.000339673,0.000339673
79,2416.25,0.47246,0.47991,0.96328,0.81349,0.76342,0.80855,0.63666,0.75186,0.79723,1.11751,0.000325526,0.000325526,0.000325526
80,2446.46,0.44468,0.46122,0.95143,0.85985,0.84278,0.83277,0.65109,0.74628,0.77058,1.10565,0.000311379,0.000311379,0.000311379
81,2477.64,0.47608,0.48484,0.96394,0.86273,0.84278,0.83401,0.64199,0.74534,0.76737,1.10634,0.000297232,0.000297232,0.000297232
82,2507.9,0.4589,0.48158,0.97557,0.88074,0.82228,0.82978,0.64456,0.73617,0.77009,1.09712,0.000283085,0.000283085,0.000283085
83,2538.04,0.46675,0.48873,0.96524,0.86863,0.81875,0.82594,0.63196,0.74563,0.78758,1.10227,0.000268938,0.000268938,0.000268938
84,2568.33,0.44866,0.46742,0.95661,0.84476,0.77562,0.81029,0.62712,0.77054,0.81583,1.11488,0.000254791,0.000254791,0.000254791
85,2598.62,0.45402,0.47584,0.94636,0.8388,0.77628,0.80368,0.62283,0.77886,0.83118,1.11666,0.000240644,0.000240644,0.000240644
86,2628.95,0.42988,0.46896,0.95029,0.82109,0.74122,0.80386,0.61588,0.75919,0.83191,1.09105,0.000226497,0.000226497,0.000226497
87,2659.51,0.45792,0.4759,0.96634,0.82517,0.74163,0.80347,0.61046,0.74787,0.82487,1.07975,0.000212349,0.000212349,0.000212349
88,2689.7,0.46408,0.47098,0.97332,0.81925,0.74505,0.81076,0.62294,0.7533,0.81224,1.08487,0.000198202,0.000198202,0.000198202
89,2720.19,0.44368,0.47571,0.95157,0.8443,0.71175,0.80113,0.62379,0.75147,0.80195,1.08532,0.000184055,0.000184055,0.000184055
90,2751.89,0.461,0.49076,0.97158,0.84376,0.70765,0.80688,0.62319,0.75683,0.77886,1.10095,0.000169908,0.000169908,0.000169908
91,2782.01,0.3633,0.44791,0.88533,0.84947,0.70539,0.80765,0.62433,0.75877,0.77004,1.1001,0.000155761,0.000155761,0.000155761
92,2812.9,0.37338,0.41002,0.90436,0.81135,0.79537,0.81317,0.62571,0.76745,0.76171,1.11388,0.000141614,0.000141614,0.000141614
93,2842.97,0.34324,0.43162,0.88854,0.82262,0.80261,0.8166,0.63191,0.76768,0.76866,1.1148,0.000127467,0.000127467,0.000127467
94,2872.86,0.34082,0.41105,0.86225,0.81901,0.79708,0.81499,0.63363,0.77802,0.80669,1.12831,0.00011332,0.00011332,0.00011332
95,2902.9,0.33827,0.41014,0.87923,0.81704,0.79871,0.81936,0.63552,0.78399,0.8108,1.13316,9.91726e-05,9.91726e-05,9.91726e-05
96,2933.06,0.35401,0.43737,0.89589,0.8287,0.77984,0.82043,0.63754,0.78901,0.80729,1.13538,8.50255e-05,8.50255e-05,8.50255e-05
97,2963.04,0.31649,0.38785,0.87258,0.82567,0.78006,0.81952,0.62568,0.77953,0.80251,1.1258,7.08784e-05,7.08784e-05,7.08784e-05
98,2993.02,0.33139,0.40899,0.87939,0.81484,0.7956,0.82437,0.63429,0.77002,0.79374,1.11616,5.67313e-05,5.67313e-05,5.67313e-05
99,3022.97,0.35061,0.42054,0.85157,0.81673,0.79866,0.82692,0.63056,0.77178,0.78845,1.11568,4.25842e-05,4.25842e-05,4.25842e-05
100,3054.14,0.32567,0.38651,0.86058,0.82684,0.79944,0.82573,0.6317,0.76754,0.78067,1.10927,2.84371e-05,2.84371e-05,2.84371e-05
